source_row,meter_number,installation_number,agreement_number,value,location,crs,source_x,source_y,latitude,longitude,bina_id,bina_value,bina_layer,method,meters,confidence,overlay,action,reason,hitIds
3255,1428959,443217,44767210,BAYLAN_LORA_W,POINT (428534.954306433 4241610.50993879),EPSG:5258,428534.954306433,4241610.50993879,38.30447601493275,38.18296497182791,5399,YILDIZLAR 5.ETAP DC-9,Maks_Bina,inside,0.00003389088529615217,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5399
3256,1430189,448943,44792020,BAYLAN_LORA_W,POINT (428200.776740227 4240871.18561006),EPSG:5258,428200.776740227,4240871.18561006,38.297789580345956,38.17921984261393,5371,YILDIZLAR 4. ETAP GB-8,Maks_Bina,inside,0.00000971627259877382,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5371
3257,1436016,437826,44767287,BAYLAN_LORA_W,POINT (442127.282178192 4247978.20773464),EPSG:5258,442127.282178192,4247978.20773464,38.362816766967285,38.33782878348071,,,,,0.000005777419738191526,,,skip,AMBIGUOUS_BUILDING,699|1863|4113
3258,2844353,443083,44767298,BAYLAN_LORA_W,POINT (433795.338833272 4244960.73425036),EPSG:5258,433795.338833272,4244960.73425036,38.33505833245254,38.242786213684646,,,,,0,,,skip,AMBIGUOUS_BUILDING,2861|2865
3260,1431017,448848,44766652,BAYLAN_LORA_W,POINT (427823.499740101 4241236.84127017),EPSG:5258,427823.499740101,4241236.84127017,38.30105311588916,38.17487006663647,5378,YILDIZLAR 4. ETAP GB-15,Maks_Bina,inside,0.000027831751115005037,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5378
3261,1430111,448963,44766708,BAYLAN_LORA_W,POINT (428478.771288638 4241553.66811079),EPSG:5258,428478.771288638,4241553.66811079,38.30395951365778,38.182328459634014,5340,YILDIZLAR 4. ETAP DC-4,Maks_Bina,inside,0.000017253527811942867,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5340
3262,1430828,444652,44766889,BAYLAN_LORA_W,POINT (427674.115439541 4241171.67401239),EPSG:5258,427674.115439541,4241171.67401239,38.300454072120075,38.173169115797684,5363,YILDIZLAR 4. ETAP DC-27,Maks_Bina,inside,0.000023268795084751802,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5363
3268,1430161,448952,44767143,BAYLAN_LORA_W,POINT (428526.52373893 4241524.99561648),EPSG:5258,428526.52373893,4241524.99561648,38.30370503838773,38.18287723916593,5309,YILDIZLAR 4.ETAP DB -1,Maks_Bina,inside,0.00001756463822343174,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5309
3269,1435749,448946,44767299,BAYLAN_LORA_W,POINT (442084.806414285 4248031.27706618),EPSG:5258,442084.806414285,4248031.27706618,38.36329207690722,38.337338453469805,,,,,0.0012106678521480762,,,skip,AMBIGUOUS_BUILDING,701|4065|4071|4073|4078|4085|4091|4099
3273,1429674,449164,44766856,BAYLAN_LORA_W,POINT (428444.904294843 4241032.21051909),EPSG:5258,428444.904294843,4241032.21051909,38.29925957090546,38.18199406116062,5327,YILDIZLAR 4.ETAP DB-19,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5327
3274,1429906,449058,44766912,BAYLAN_LORA_W,POINT (428421.295592871 4240879.417606),EPSG:5258,428421.295592871,4240879.417606,38.297881343188635,38.18173965551054,5353,YILDIZLAR 4. ETAP DC-17,Maks_Bina,inside,0.000025004004436116906,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5353
3278,1429007,448915,44767149,BAYLAN_LORA_W,POINT (428773.681354487 4241639.72589066),EPSG:5258,428773.681354487,4241639.72589066,38.30475816671548,38.18569105751739,5385,YILDIZLAR -TOKİ 5.ETAP DB-6,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5385
3279,1430328,449021,44767218,BAYLAN_LORA_W,POINT (428410.459697154 4241377.04754648),EPSG:5258,428410.459697154,4241377.04754648,38.3023630858775,38.181565433451105,5313,YILDIZLAR 4.ETAP DB -5,Maks_Bina,inside,0.00003253300757138807,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5313
3282,1429946,449122,44766675,BAYLAN_LORA_W,POINT (428399.853910427 4241025.32554527),EPSG:5258,428399.853910427,4241025.32554527,38.2991939595234,38.18147979809113,5351,YILDIZLAR 4. ETAP DC-15,Maks_Bina,inside,8.457171842254415e-7,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5351
3285,1430588,448936,44767108,BAYLAN_LORA_W,POINT (428244.216628326 4241305.76881206),EPSG:5258,428244.216628326,4241305.76881206,38.301707739208524,38.179672300387864,5319,YILDIZLAR 4.ETAP DB-11,Maks_Bina,inside,0.00003496281480334884,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5319
3287,1430022,448947,44767326,BAYLAN_LORA_W,POINT (428441.949313523 4240925.87724344),EPSG:5258,428441.949313523,4240925.87724344,38.29830149425244,38.18197103934851,5329,YILDIZLAR 4.ETAP DB-21,Maks_Bina,inside,0.000005099943743821329,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5329
3289,1430268,449126,44766805,BAYLAN_LORA_W,POINT (427631.576590957 4241144.53471241),EPSG:5258,427631.576590957,4241144.53471241,38.30020617576364,38.17268563422931,5380,YILDIZLAR 4.ETAP DB-26,Maks_Bina,inside,0.000029715198414566687,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5380
3290,1430518,449091,44767346,BAYLAN_LORA_W,POINT (428429.124800528 4241265.8783894),EPSG:5258,428429.124800528,4241265.8783894,38.301363172636485,38.18179004753026,5366,YILDIZLAR 4. ETAP GB-3,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5366
3291,1430813,448950,44767368,BAYLAN_LORA_W,POINT (427823.499740101 4241236.84127017),EPSG:5258,427823.499740101,4241236.84127017,38.30105311588916,38.17487006663647,5378,YILDIZLAR 4. ETAP GB-15,Maks_Bina,inside,0.000027831751115005037,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5378
3293,1429450,436878,44766639,BAYLAN_LORA_W,POINT (428348.012340512 4241773.41970793),EPSG:5258,428348.012340512,4241773.41970793,38.30592858546129,38.18081142541085,5408,YILDIZLAR 5.ETAP GB-3,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5408
3294,1431045,448778,44766650,BAYLAN_LORA_W,POINT (427580.231395106 4241123.0834684),EPSG:5258,427580.231395106,4241123.0834684,38.300008804410254,38.17210090972328,5336,YILDIZLAR 4.ETAP DB-29,Maks_Bina,inside,0.000029856290818529143,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5336
3296,1429264,448890,44766914,BAYLAN_LORA_W,POINT (428760.141966971 4241518.18040552),EPSG:5258,428760.141966971,4241518.18040552,38.30366222077105,38.18554852349351,5411,YILDIZLAR 5.ETAP GB-6,Maks_Bina,inside,0.000028018513330925105,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5411
3299,1430183,443218,44767241,BAYLAN_LORA_W,POINT (428463.009692822 4241438.38791245),EPSG:5258,428463.009692822,4241438.38791245,38.302919824088185,38.18215994115859,5337,YILDIZLAR 4. ETAP DC-1,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5337
3303,1430072,451923,44767447,BAYLAN_LORA_W,POINT (428455.806598053 4241505.45175633),EPSG:5258,428455.806598053,4241505.45175633,38.30352335492479,38.182070816353566,5341,YILDIZLAR 4. ETAP DC-5,Maks_Bina,inside,0.00002510410041482855,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5341
3306,1430602,449158,44766795,BAYLAN_LORA_W,POINT (429272.845426687 4243491.42749429),EPSG:5258,429272.845426687,4243491.42749429,38.32147761004536,38.191212060995994,4960,DB-10,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,4960
3308,1429720,449874,44767412,BAYLAN_LORA_W,POINT (428331.385665634 4241225.91473731),EPSG:5258,428331.385665634,4241225.91473731,38.300995385226514,38.18067683243895,5321,YILDIZLAR 4.ETAP DB-13,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5321
3314,1430905,448933,44767037,BAYLAN_LORA_W,POINT (428509.845343387 4241471.83963639),EPSG:5258,428509.845343387,4241471.83963639,38.30322488583788,38.18269195381569,5310,YILDIZLAR 4.ETAP DB -2,Maks_Bina,inside,0.000004736100273303998,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5310
3316,2825607,449087,44767072,BAYLAN_LORA_W,POINT (437171.2334 4248006.0612),EPSG:5258,437171.2334,4248006.0612,38.36273372148802,38.28112387934148,,,,,,,,skip,NO_BUILDING_CANDIDATE,
3337,1431030,449792,44767465,BAYLAN_LORA_W,POINT (427777.869528515 4241255.5251986),EPSG:5258,427777.869528515,4241255.5251986,38.3012177485358,38.17434655925702,5377,YILDIZLAR 4. ETAP GB-14,Maks_Bina,inside,0.00002503155854449852,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5377
3342,1430927,449079,44766794,BAYLAN_LORA_W,POINT (427528.02329271 4241154.22407085),EPSG:5258,427528.02329271,4241154.22407085,38.300285102037556,38.17150093664204,5335,YILDIZLAR 4.ETAP DB-28,Maks_Bina,inside,0.00003489209915409301,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5335
3344,1430497,448911,44766961,BAYLAN_LORA_W,POINT (428567.7212 4242088.862),EPSG:5258,428567.7212,4242088.862,38.30878757376592,38.18329122895418,5252,DC 11,Maks_Bina,inside,0.000007022402698132489,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5252
3347,1429842,449751,44770213,BAYLAN_LORA_W,POINT (428397.099433508 4241137.81803506),EPSG:5258,428397.099433508,4241137.81803506,38.30020706230909,38.18143692584026,5349,YILDIZLAR 4. ETAP DC-13,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5349
3348,1429116,449779,44767532,BAYLAN_LORA_W,POINT (428830.154767432 4241487.80871819),EPSG:5258,428830.154767432,4241487.80871819,38.30339418945748,38.18635192817309,5405,YILDIZLAR 5.ETAP DC-15,Maks_Bina,inside,0.000033910917147422826,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5405
3350,1429659,449831,44767560,BAYLAN_LORA_W,POINT (428291.120055309 4241386.27374485),EPSG:5258,428291.120055309,4241386.27374485,38.30243666836929,38.18020029803695,5317,YILDIZLAR 4.ETAP DB-9,Maks_Bina,inside,0.000034799679049049205,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5317
3352,1429275,437268,44767596,BAYLAN_LORA_W,POINT (428729.436429116 4241610.47085171),EPSG:5258,428729.436429116,4241610.47085171,38.30449112748716,38.18518821413361,5388,YILDIZLAR -TOKİ 5.ETAP DB-9,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5388
3353,1429027,449308,44767665,BAYLAN_LORA_W,POINT (428679.076296822 4241639.9235),EPSG:5258,428679.076296822,4241639.9235,38.30475243390086,38.184609547790394,5387,YILDIZLAR -TOKİ 5.ETAP DB-8,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5387
3354,1429965,449309,44767698,BAYLAN_LORA_W,POINT (428455.806598053 4241505.45175633),EPSG:5258,428455.806598053,4241505.45175633,38.30352335492479,38.182070816353566,5341,YILDIZLAR 4. ETAP DC-5,Maks_Bina,inside,0.00002510410041482855,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5341
