source_row,meter_number,installation_number,agreement_number,value,location,crs,source_x,source_y,latitude,longitude,bina_id,bina_value,bina_layer,method,meters,confidence,overlay,action,reason,hitIds
12161,640006782,469709,44796812,POLIMETER_LORA_W,POINT (438015.886479629 4245626.46855465),EPSG:5258,438015.886479629,4245626.46855465,38.341357057587004,38.290996618277774,128,B4,RYA_MER_63_MULTIPOLYGON [1 adet],inside,0,high,,insert,,128
12164,640006003,468181,44796824,POLIMETER_LORA_W,POINT (443398.849440612 4246862.47006574),EPSG:5258,443398.849440612,4246862.47006574,38.35284727634486,38.3524665346276,1229,D8A,P_KONUT_MULTIPOLYGON [727 adet],inside,0,high,existing_bina_bilgi,insert,,1229|2917
12165,40020352,466812,44796831,POLIMETER_LORA_W,POINT (442332.464590366 4246659.81183785),EPSG:5258,442332.464590366,4246659.81183785,38.350953697270505,38.34028408987296,1188,T8-03,P_KONUT_MULTIPOLYGON [727 adet],inside,0,high,existing_bina_bilgi,insert,,1188|4049
12166,640008720,463948,44797107,POLIMETER_LORA_W,POINT (427963.111019861 4242426.68710218),EPSG:5258,427963.111019861,4242426.68710218,38.3117823320497,38.176344759161104,5448,DB 20,Maks_Bina,inside,0,high,,insert,,5448
12167,640003611,463938,44796852,POLIMETER_LORA_W,POINT (442138.6296 4246800.9558),EPSG:5258,442138.6296,4246800.9558,38.35221264730156,38.338055181843046,1170,T2-01,P_KONUT_MULTIPOLYGON [727 adet],inside,0.02473758709611446,high,existing_bina_bilgi,insert,,1170|4026
12168,640021164,455660,44796887,POLIMETER_LORA_W,POINT (442054.376886541 4247461.06670163),EPSG:5258,442054.376886541,4247461.06670163,38.358153576481925,38.337037152849696,4167,B2,RYA_MER_38_39_MULTIPOLYGON [2 adet],inside,0,high,,insert,,4167
12169,640008477,463939,44796894,POLIMETER_LORA_W,POINT (442331.22455726 4246731.22195287),EPSG:5258,442331.22455726,4246731.22195287,38.351596890911,38.34026406825784,4036,T8-02,RYA_MER_37_MULTIPOLYGON [1 adet],inside,0,high,,insert,,4036
12170,640021514,464574,44796930,POLIMETER_LORA_W,POINT (442110.342386381 4247400.66415972),EPSG:5258,442110.342386381,4247400.66415972,38.35761308034705,38.337682378649404,1193,C5,P_KONUT_MULTIPOLYGON [727 adet],inside,0.00002226627464475464,high,,insert,,1193
12171,640008474,463940,44796911,POLIMETER_LORA_W,POINT (442275.430100246 4246658.81853017),EPSG:5258,442275.430100246,4246658.81853017,38.35094107685429,38.33963173732415,1186,T1-07,P_KONUT_MULTIPOLYGON [727 adet],inside,0,high,existing_bina_bilgi,insert,,1186|4038
12174,640002380,466748,44796944,POLIMETER_LORA_W,POINT (443299.687249605 4246794.45869439),EPSG:5258,443299.687249605,4246794.45869439,38.35222834812219,38.351337623524465,2906,D2B,RYA_MER_27_MULTIPOLYGON [1 adet],inside,0,high,,insert,,2906
12175,640008640,464879,44796947,POLIMETER_LORA_W,POINT (442474.352005125 4246665.74479704),EPSG:5258,442474.352005125,4246665.74479704,38.35101626293356,38.341906697318265,1180,T1-12,P_KONUT_MULTIPOLYGON [727 adet],inside,0,high,existing_bina_bilgi,insert,,1180|4051
12177,40001687,462450,44796957,POLIMETER_LORA_W,POINT (443118.930089397 4246888.42667808),EPSG:5258,443118.930089397,4246888.42667808,38.35306337055379,38.34926227451911,1580,AT1,P_TİCARET_BAZA_MULTIPOLYGON [144 adet],inside,0.000007081550720472901,high,same_name_primary_layer,insert,,1580|2898
12178,640004551,469277,44796963,POLIMETER_LORA_W,POINT (428243.039065429 4242560.18011425),EPSG:5258,428243.039065429,4242560.18011425,38.31300725213469,38.17953154610168,5461,GB11,Maks_Bina,inside,0.004156792076843692,high,,insert,,5461
12179,640031880,464530,44796961,POLIMETER_LORA_W,POINT (443238.343869369 4246705.11020761),EPSG:5258,443238.343869369,4246705.11020761,38.35141959731703,38.35064307324104,2889,A7,RYA_MER_27_MULTIPOLYGON [1 adet],inside,0,high,,insert,,2889
