source_row,meter_number,installation_number,agreement_number,value,location,crs,source_x,source_y,latitude,longitude,bina_id,bina_value,bina_layer,method,meters,confidence,overlay,action,reason,hitIds
1373,1444937,436628,44750063,BAYLAN_LORA_W,POINT (431405.638208853 4244327.59002067),EPSG:5258,431405.638208853,4244327.59002067,38.32917535665664,38.215517907359875,748,D12B,P_KONUT_MULTIPOLYGON [727 adet],inside,0.000011145750811442799,high,same_name_primary_layer,insert,,748|4722
1374,2825353,434658,44749085,BAYLAN_LORA_W,POINT (437042.221700381 4248183.40981143),EPSG:5258,437042.221700381,4248183.40981143,38.36432222232332,38.2796320230615,932,B9,P_KONUT_MULTIPOLYGON [727 adet],inside,0.0031963987486347527,high,same_name_primary_layer,insert,,932|3912
1375,1444344,434659,44749106,BAYLAN_LORA_W,POINT (431569.472269344 4244576.09777557),EPSG:5258,431569.472269344,4244576.09777557,38.331426418131,38.21736736397921,771,D4A,P_KONUT_MULTIPOLYGON [727 adet],inside,0,high,existing_bina_bilgi,insert,,771|2412
1376,1444314,436403,44749120,BAYLAN_LORA_W,POINT (431557.295900402 4244308.78641136),EPSG:5258,431557.295900402,4244308.78641136,38.32901756291482,38.217254018579176,753,A10,P_KONUT_MULTIPOLYGON [727 adet],inside,0,high,existing_bina_bilgi,insert,,753|4706
1377,1443915,438277,44744886,BAYLAN_LORA_W,POINT (431523.693300402 4244364.80051137),EPSG:5258,431523.693300402,4244364.80051137,38.329519569494714,38.21686432498217,762,A8,P_KONUT_MULTIPOLYGON [727 adet],inside,0.0002194898780477419,high,same_name_primary_layer,insert,,762|4702
1378,1444673,435416,44749381,BAYLAN_LORA_W,POINT (431527.539600401 4244415.06321137),EPSG:5258,431527.539600401,4244415.06321137,38.329972626802956,38.21690343730436,755,D6A,P_KONUT_MULTIPOLYGON [727 adet],inside,0.00012347345546679777,high,same_name_primary_layer,insert,,755|4728
1379,2825346,436819,44749414,BAYLAN_LORA_W,POINT (437017.141782789 4248366.35257386),EPSG:5258,437017.141782789,4248366.35257386,38.365968410778045,38.279328736285166,974,A18,P_KONUT_MULTIPOLYGON [727 adet],inside,0.0001123996727668683,high,existing_bina_bilgi,insert,,974|3896
1380,1444624,435227,44749562,BAYLAN_LORA_W,POINT (431586.002900402 4243873.41751136),EPSG:5258,431586.002900402,4243873.41751136,38.32509797228863,38.21762446113686,140,CT2,RYA_MER_8_MULTIPOLYGON [1 adet],inside,0,high,existing_bina_bilgi,insert,,140|366
1381,2825591,435439,44749570,BAYLAN_LORA_W,POINT (436936.837184137 4248241.63461463),EPSG:5258,436936.837184137,4248241.63461463,38.364839297963435,38.27842108591686,959,A10,P_KONUT_MULTIPOLYGON [727 adet],inside,0,high,existing_bina_bilgi,insert,,959|3888
1382,2825392,436720,44749817,BAYLAN_LORA_W,POINT (437189.873419514 4248221.36407817),EPSG:5258,437189.873419514,4248221.36407817,38.36467448258657,38.281317961981955,970,A26,P_KONUT_MULTIPOLYGON [727 adet],inside,0,high,existing_bina_bilgi,insert,,970|3929
